# Filename: CLN3-561nm_416_bidi_015.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
0     695   -1
0     849   -1
2     706   -1
5     840   -1
6     783   -1
6     1787  -1
7     1777  -1
9     875   -1
10    1748  -1
12    886   -1
14    1760  -1
15    843   -1
16    861   -1
16    895   -1
17    813   -1
17    873   -1
17    1776  -1
18    1819  -1
19    879   -1
20    904   -1
22    1788  -1
23    849   -1
23    1763  -1
24    1739  -1
25    905   -1
26    1744  -1
27    1801  -1
33    1810  -1
35    879   -1
35    1737  -1
35    1816  -1
37    1829  -1
38    939   -1
41    1746  -1
41    1848  -1
43    1817  -1
43    945   -1
46    932   -1
46    1851  -1
52    1826  -1
57    1752  -1
57    1822  -1
58    1868  -1
62    1861  -1
62    1866  -1
63    1876  -1
64    1853  -1
65    1848  -1
66    2012  -1
67    1839  -1
68    1861  -1
70    1744  -1
73    1723  -1
75    1873  -1
75    2024  -1
76    1729  -1
78    1905  -1
80    1889  -1
81    1718  -1
81    1880  -1
82    1710  -1
84    1731  -1
85    1739  -1
86    966   -1
88    1704  -1
89    1743  -1
95    981   -1
98    1712  -1
100   2025  -1
106   1713  -1
109   1727  -1
114   1751  -1
115   1730  -1
125   1711  -1
127   1693  -1
128   1700  -1
130   1706  -1
131   1721  -1
132   1740  -1
137   722   -1
137   1702  -1
139   716   -1
141   703   -1
141   1693  -1
144   1699  -1
148   1721  -1
156   1706  -1
156   1732  -1
157   1739  -1
160   1713  -1
161   1687  -1
162   1725  -1
163   729   -1
163   1730  -1
165   700   -1
166   724   -1
167   1733  -1
168   1680  -1
170   1700  -1
172   1709  -1
172   1718  -1
180   1694  -1
180   1698  -1
182   1689  -1
182   1714  -1
185   1708  -1
187   1702  -1
187   1719  -1
188   713   -1
191   713   -1
193   734   -1
200   731   -1
207   935   -1
208   730   -1
211   952   -1
214   976   -1
215   728   -1
216   546   -1
216   734   -1
216   754   -1
219   726   -1
224   539   -1
224   772   -1
225   724   -1
228   738   -1
229   540   -1
231   734   -1
231   774   -1
235   520   -1
236   785   -1
237   778   -1
237   797   -1
238   739   -1
238   750   -1
239   734   -1
240   770   -1
241   803   -1
242   808   -1
243   742   -1
246   538   -1
246   802   -1
247   739   -1
247   749   -1
248   792   -1
249   734   -1
249   812   -1
252   723   -1
252   782   -1
252   803   -1
255   568   -1
255   842   -1
255   859   -1
257   739   -1
258   732   -1
258   801   -1
259   866   -1
261   733   -1
264   740   -1
264   749   -1
265   715   -1
266   733   -1
271   711   -1
271   719   -1
271   845   -1
272   729   -1
273   582   -1
273   738   -1
276   563   -1
277   733   -1
278   716   -1
278   724   -1
278   846   -1
280   869   -1
283   733   -1
286   714   -1
287   724   -1
289   565   -1
289   729   -1
294   722   -1
295   563   -1
300   698   -1
301   602   -1
304   203   -1
306   225   -1
306   708   -1
306   713   -1
307   215   -1
307   237   -1
307   246   -1
308   195   -1
308   233   -1
308   702   -1
310   220   -1
310   252   -1
310   720   -1
312   205   -1
314   247   -1
315   255   -1
315   579   -1
315   725   -1
316   230   -1
317   220   -1
317   575   -1
317   594   -1
317   705   -1
318   196   -1
318   599   -1
319   205   -1
319   273   -1
319   719   -1
321   696   -1
322   227   -1
322   594   -1
323   230   -1
324   220   -1
324   639   -1
325   580   -1
325   644   -1
325   693   -1
326   202   -1
326   214   -1
326   267   -1
326   272   -1
326   281   -1
328   254   -1
328   275   -1
328   699   -1
330   219   -1
331   290   -1
333   226   -1
333   254   -1
333   278   -1
333   295   -1
334   264   -1
334   720   -1
335   258   -1
335   271   -1
335   312   -1
335   701   -1
336   304   -1
338   290   -1
338   295   -1
338   704   -1
339   282   -1
339   590   -1
339   652   -1
340   635   -1
340   645   -1
341   294   -1
341   322   -1
341   718   -1
342   242   -1
342   276   -1
342   609   -1
343   286   -1
343   311   -1
343   629   -1
344   271   -1
344   328   -1
344   633   -1
345   613   -1
345   639   -1
345   711   -1
345   721   -1
346   289   -1
346   324   -1
346   338   -1
346   645   -1
347   259   -1
347   299   -1
347   653   -1
348   282   -1
348   628   -1
349   265   -1
349   271   -1
349   310   -1
349   314   -1
349   347   -1
350   364   -1
350   373   -1
350   613   -1
351   633   -1
351   710   -1
352   275   -1
353   289   -1
353   603   -1
353   651   -1
354   642   -1
354   647   -1
355   301   -1
355   311   -1
355   367   -1
355   702   -1
356   281   -1
356   708   -1
357   386   -1
357   631   -1
357   711   -1
358   296   -1
358   345   -1
358   380   -1
358   648   -1
359   364   -1
359   623   -1
359   645   -1
360   329   -1
361   302   -1
361   368   -1
361   393   -1
361   414   -1
362   399   -1
363   288   -1
363   298   -1
363   602   -1
363   651   -1
364   312   -1
364   371   -1
364   376   -1
365   308   -1
365   316   -1
365   322   -1
365   405   -1
365   702   -1
366   624   -1
366   707   -1
367   424   -1
367   427   -1
368   300   -1
368   389   -1
368   394   -1
368   410   -1
368   414   -1
368   609   -1
369   325   -1
369   371   -1
369   378   -1
369   603   -1
369   650   -1
370   332   -1
370   366   -1
370   428   -1
370   640   -1
370   716   -1
370   722   -1
371   303   -1
371   612   -1
372   623   -1
372   693   -1
372   711   -1
373   357   -1
373   362   -1
373   698   -1
374   368   -1
374   383   -1
374   415   -1
375   322   -1
375   377   -1
375   426   -1
376   350   -1
376   387   -1
376   608   -1
376   619   -1
376   650   -1
377   364   -1
377   698   -1
378   335   -1
378   396   -1
378   638   -1
379   373   -1
380   362   -1
380   404   -1
380   434   -1
380   599   -1
381   380   -1
381   412   -1
381   420   -1
381   449   -1
381   617   -1
381   712   -1
382   624   -1
382   631   -1
383   640   -1
383   708   -1
384   416   -1
384   455   -1
384   628   -1
385   385   -1
385   411   -1
385   451   -1
385   651   -1
385   695   -1
386   398   -1
386   584   -1
386   607   -1
387   427   -1
387   630   -1
388   435   -1
389   604   -1
390   463   -1
390   637   -1
390   644   -1
391   450   -1
392   410   -1
392   427   -1
392   722   -1
393   473   -1
393   710   -1
394   430   -1
394   450   -1
394   464   -1
395   437   -1
395   612   -1
395   646   -1
395   718   -1
395   726   -1
396   420   -1
396   632   -1
396   639   -1
398   451   -1
398   600   -1
398   694   -1
399   470   -1
399   592   -1
400   447   -1
400   616   -1
401   442   -1
401   625   -1
401   637   -1
401   706   -1
402   434   -1
404   493   -1
404   635   -1
405   431   -1
405   480   -1
405   486   -1
405   629   -1
405   706   -1
406   592   -1
406   680   -1
407   439   -1
407   451   -1
407   462   -1
407   476   -1
407   491   -1
407   623   -1
407   663   -1
408   468   -1
408   582   -1
408   694   -1
409   602   -1
409   631   -1
409   708   -1
410   681   -1
411   494   -1
411   697   -1
411   702   -1
412   486   -1
412   613   -1
412   692   -1
413   523   -1
414   481   -1
414   505   -1
414   531   -1
414   618   -1
414   633   -1
414   675   -1
415   458   -1
415   515   -1
415   569   -1
415   580   -1
416   560   -1
416   602   -1
416   724   -1
417   475   -1
417   595   -1
417   655   -1
417   698   -1
418   471   -1
418   613   -1
418   684   -1
419   498   -1
419   633   -1
419   707   -1
420   506   -1
420   513   -1
420   520   -1
420   546   -1
420   641   -1
421   611   -1
421   617   -1
421   630   -1
421   716   -1
422   540   -1
422   554   -1
422   576   -1
422   682   -1
422   729   -1
423   498   -1
423   606   -1
423   622   -1
423   670   -1
423   724   -1
424   476   -1
424   595   -1
424   657   -1
424   674   -1
424   709   -1
424   715   -1
425   569   -1
425   688   -1
426   496   -1
426   502   -1
426   561   -1
426   580   -1
427   506   -1
427   517   -1
427   556   -1
427   612   -1
427   705   -1
428   589   -1
428   618   -1
428   685   -1
428   719   -1
429   544   -1
429   605   -1
429   741   -1
430   482   -1
430   654   -1
431   528   -1
431   578   -1
431   584   -1
431   681   -1
432   497   -1
432   557   -1
432   602   -1
432   610   -1
432   753   -1
433   569   -1
433   736   -1
434   486   -1
434   590   -1
435   493   -1
435   532   -1
435   581   -1
435   587   -1
435   707   -1
436   523   -1
436   539   -1
436   670   -1
437   690   -1
437   744   -1
438   492   -1
438   604   -1
438   697   -1
439   550   -1
439   560   -1
440   530   -1
441   489   -1
441   684   -1
442   555   -1
442   597   -1
442   710   -1
443   483   -1
443   576   -1
443   602   -1
443   607   -1
443   1345  -1
444   494   -1
444   764   -1
444   1324  -1
445   505   -1
445   543   -1
445   591   -1
445   719   -1
447   726   -1
447   753   -1
448   560   -1
448   742   -1
449   746   -1
450   517   -1
450   551   -1
450   707   -1
450   1339  -1
450   1345  -1
451   505   -1
451   513   -1
451   734   -1
451   1357  -1
452   497   -1
452   527   -1
452   540   -1
452   694   -1
453   534   -1
453   610   -1
453   744   -1
453   749   -1
454   580   -1
454   601   -1
454   1312  -1
454   1331  -1
454   1349  -1
455   490   -1
455   722   -1
455   1315  -1
457   775   -1
457   779   -1
458   1375  -1
459   460   -1
459   506   -1
459   603   -1
459   608   -1
459   793   -1
460   722   -1
460   1319  -1
461   267   -1
461   279   -1
461   523   -1
461   535   -1
461   734   -1
461   745   -1
461   1331  -1
462   613   -1
462   1345  -1
462   1379  -1
463   465   -1
463   597   -1
463   1319  -1
464   495   -1
464   580   -1
464   779   -1
465   500   -1
465   508   -1
465   531   -1
465   1372  -1
466   758   -1
466   1350  -1
467   440   -1
467   485   -1
467   489   -1
467   612   -1
467   776   -1
468   274   -1
468   294   -1
468   458   -1
468   592   -1
468   1355  -1
470   278   -1
470   285   -1
470   434   -1
470   476   -1
470   524   -1
470   541   -1
470   781   -1
470   796   -1
471   264   -1
471   494   -1
472   775   -1
473   273   -1
473   591   -1
473   599   -1
474   298   -1
474   479   -1
474   530   -1
474   778   -1
474   787   -1
474   1396  -1
475   763   -1
475   1369  -1
476   286   -1
476   474   -1
477   465   -1
477   613   -1
479   276   -1
479   758   -1
479   799   -1
479   1365  -1
479   1395  -1
480   517   -1
480   586   -1
480   1390  -1
